id_transacao,data,tipo,descricao,categoria,valor,centro_custo,status_pagamento,convenio,observacoes
TR001,23-04-26,Receita,Serviço/Produto 1,Salários,14088.19,Faturamento,Pago,VitaCare,
TR002,15/04/2026,Receita,Serviço/Produto 2,Insumos,3474.96,Faturamento,Pendente,MedPlus,
TR003,14-04-26,Despesa,Serviço/Produto 3,Salários,4843.83,Operacional,Atrasado,,
TR004,18/02/2026,Despesa,Serviço/Produto 4,Convênio,6676.12,Operacional,Atrasado,,
TR005,10/01/2026,Receita,Serviço/Produto 5,Salários,1370.51,Faturamento,Pago,PlaneSaúde,
TR006,2026-05-06,Despesa,Serviço/Produto 6,Insumos,11342.17,Operacional,Pendente,,
TR007,21/01/2026,Receita,Serviço/Produto 7,Convênio,3884.28,Faturamento,Atrasado,NorteMedic,
TR008,18/02/2026,Receita,Serviço/Produto 8,Convênio,12349.56,Faturamento,Pendente,SempreViva,
TR009,2026-01-20,Despesa,Serviço/Produto 9,Tratamento,8875.92,Operacional,Atrasado,,
TR010,24-03-26,Receita,Serviço/Produto 10,Convênio,3703.11,Faturamento,Pendente,PlaneSaúde,
TR011,10/01/2026,Receita,Serviço/Produto 11,Tratamento,15000.0,Faturamento,Atrasado,PlaneSaúde,
TR012,25/01/2026,Receita,Serviço/Produto 12,Convênio,3227.17,Faturamento,Atrasado,PlaneSaúde,
TR013,11/03/2026,Despesa,Serviço/Produto 13,Insumos,7733.99,Operacional,Pago,,
TR014,24/03/2026,Receita,Serviço/Produto 14,Salários,3298.74,Faturamento,Atrasado,PlaneSaúde,
TR015,2026-04-18,Receita,Serviço/Produto 15,Convênio,14848.16,Faturamento,Pago,PlaneSaúde,
TR016,04-01-26,Receita,Serviço/Produto 16,Tratamento,5068.75,Faturamento,Pendente,VitaCare,
TR017,13/05/2026,Receita,Serviço/Produto 17,Convênio,10871.91,Faturamento,Pago,PlaneSaúde,
TR018,17/04/2026,Despesa,Serviço/Produto 18,Tratamento,6078.6,Operacional,Pago,,
TR019,25/01/2026,Receita,Serviço/Produto 19,Tratamento,12301.25,Faturamento,Pendente,PlaneSaúde,
TR020,13/05/2026,Despesa,Serviço/Produto 20,Salários,4842.17,Operacional,Pendente,,
TR021,2026-01-13,Receita,Serviço/Produto 21,Tratamento,4325.26,Faturamento,Pago,PlaneSaúde,
TR022,25/01/2026,Despesa,Serviço/Produto 22,Salários,6612.35,Operacional,Pendente,,
TR023,12/12/2022,Despesa,Serviço/Produto 23,Salários,3152.48,Operacional,Pendente,,
TR024,2026-02-12,Despesa,Serviço/Produto 24,Insumos,6631.52,Operacional,Pago,,
TR025,28/03/2026,Receita,Serviço/Produto 25,Tratamento,553.84,Faturamento,Pendente,MedPlus,
TR026,19/04/2026,Despesa,Serviço/Produto 26,Salários,14088.08,Operacional,Atrasado,,
TR027,24/09/2025,Despesa,Serviço/Produto 27,Tratamento,13360.59,Operacional,Pendente,,
TR028,24-03-26,Despesa,Serviço/Produto 28,Convênio,8981.82,Operacional,Pendente,,
TR029,2026-04-10,Despesa,Serviço/Produto 29,Insumos,8431.12,Operacional,Pendente,,
TR030,22-04-25,Receita,Serviço/Produto 30,Salários,11082.9,Faturamento,Pendente,VitaCare,
TR031,25-08-25,Despesa,Serviço/Produto 31,Insumos,5553.37,Operacional,Pago,,
TR032,15/05/2025,Receita,Serviço/Produto 32,Tratamento,1351.48,Faturamento,Pago,SempreViva,
TR033,26/08/24,Receita,Serviço/Produto 33,Tratamento,324.89,Faturamento,Atrasado,NorteMedic,
TR034,22/04/2025,Receita,Serviço/Produto 34,Insumos,9874.1,Faturamento,Pendente,PlaneSaúde,
TR035,01-10-23,Despesa,Serviço/Produto 35,Insumos,5321.4,Operacional,Pendente,,
TR036,2026-03-09,Receita,Serviço/Produto 36,Tratamento,14782.91,Faturamento,Pendente,MedPlus,
TR037,13/11/2025,Receita,Serviço/Produto 37,Insumos,346.52,Faturamento,Pago,MedPlus,
TR038,15-05-25,Despesa,Serviço/Produto 38,Tratamento,10481.56,Operacional,Pendente,,
TR039,02/02/2025,Despesa,Serviço/Produto 39,Salários,7763.52,Operacional,Pendente,,
TR040,14/01/2025,Receita,Serviço/Produto 40,Tratamento,4325.75,Faturamento,Atrasado,SempreViva,
TR041,20/03/2025,Despesa,Serviço/Produto 41,Insumos,12391.55,Operacional,Atrasado,,
TR042,2025-11-20,Receita,Serviço/Produto 42,Insumos,11305.12,Faturamento,Atrasado,VitaCare,
TR043,14-06-25,Receita,Serviço/Produto 43,Insumos,480.9,Faturamento,Pago,VitaCare,
TR044,22/04/2025,Despesa,Serviço/Produto 44,Tratamento,13324.86,Operacional,Pago,,
TR045,04/09/2025,Despesa,Serviço/Produto 45,Tratamento,432.12,Operacional,Pago,,
TR046,21-12-25,Despesa,Serviço/Produto 46,Salários,14310.22,Operacional,Pendente,,
TR047,19/02/2025,Receita,Serviço/Produto 47,Insumos,7765.18,Faturamento,Pendente,SempreViva,
TR048,04/06/2025,Receita,Serviço/Produto 48,Insumos,310.42,Faturamento,Atrasado,PlaneSaúde,
TR049,02-09-25,Receita,Serviço/Produto 49,Tratamento,1142.15,Faturamento,Atrasado,PlaneSaúde,
TR050,25/07/2025,Receita,Serviço/Produto 50,Tratamento,2241.6,Faturamento,Pago,VitaCare,
TR011,10/01/2026,Receita,Serviço/Produto 11,Tratamento,15000.0,Faturamento,Atrasado,PlaneSaúde,
